,precision,recall,f1-score,support
Season 1,0.30445544554455445,0.31865284974093266,0.31139240506329113,772.0
Season 2,0.25961538461538464,0.35064935064935066,0.29834254143646416,1001.0
Season 3,0.23517587939698492,0.25517993456924754,0.24476987447698745,917.0
Season 4,0.2554347826086957,0.27042577675489066,0.26271660145332587,869.0
Season 5,0.23065693430656933,0.21122994652406418,0.22051639916259594,748.0
Season 6,0.23166023166023167,0.17069701280227595,0.19656019656019655,703.0
Season 7,0.3366733466933868,0.27768595041322314,0.30434782608695654,605.0
Season 8,0.2537313432835821,0.14049586776859505,0.18085106382978722,363.0
accuracy,0.2614586818333891,0.2614586818333891,0.2614586818333891,0.2614586818333891
macro avg,0.26342541851367374,0.24937708615282247,0.2524371135087006,5978.0
weighted avg,0.26157980821918425,0.2614586818333891,0.25839711909557717,5978.0
